Age,Gender,Mood,Stress,SleepQuality,Anxiety,FavGenre,Language,Activity,RecommendedPlaylist
26,Male,Anxiety,6,Good,4,Nature Sounds,Spanish,Studying,playlist_1
72,Female,Sad,2,Fair,10,Lo-fi,English,Studying,playlist_1
36,Male,Sad,3,Poor,6,Nature Sounds,English,Exercise,playlist_5
58,Male,Angry,10,Poor,5,Pop,English,Exercise,playlist_4
39,Male,Anxiety,9,Good,9,Nature Sounds,English,Studying,playlist_1
63,Female,Angry,9,Good,9,Lo-fi,English,Studying,playlist_1
41,Female,Sad,5,Good,1,Pop,English,Meditation,playlist_2
73,Other,Happy,3,Poor,3,Instrumental,Hindi,Exercise,playlist_5
56,Female,Sad,2,Poor,1,Lo-fi,Other,Sleeping,playlist_2
42,Male,Angry,8,Good,6,Instrumental,English,Exercise,playlist_4
74,Female,Anxiety,6,Fair,3,Nature Sounds,English,Exercise,playlist_3
30,Female,Anxiety,10,Poor,1,Pop,Other,Studying,playlist_1
29,Male,Angry,7,Good,6,Nature Sounds,Spanish,Studying,playlist_1
61,Female,Anxiety,1,Fair,5,Pop,English,Exercise,playlist_5
65,Male,Tired,1,Poor,8,Classical,Spanish,Relaxation,playlist_5
58,Male,Happy,10,Fair,2,Nature Sounds,English,Relaxation,playlist_1
69,Female,Happy,2,Fair,8,Nature Sounds,English,Exercise,playlist_5
66,Female,Happy,10,Poor,5,Nature Sounds,English,Relaxation,playlist_1
71,Female,Anxiety,3,Good,8,Lo-fi,English,Exercise,playlist_5
17,Male,Anxiety,1,Fair,10,Pop,English,Studying,playlist_1
51,Female,Sad,5,Good,4,Pop,English,Studying,playlist_1
65,Female,Sad,3,Poor,4,Pop,Hindi,Studying,playlist_1
21,Female,Happy,1,Fair,10,Lo-fi,English,Sleeping,playlist_1
35,Female,Tired,8,Fair,4,Pop,English,Studying,playlist_1
23,Female,Sad,6,Fair,6,Nature Sounds,English,Studying,playlist_1
53,Male,Sad,9,Fair,4,Instrumental,English,Exercise,playlist_2
32,Female,Anxiety,3,Fair,9,Classical,English,Relaxation,playlist_3
18,Female,Tired,9,Poor,9,Pop,Spanish,Relaxation,playlist_5
39,Male,Happy,9,Fair,3,Lo-fi,Hindi,Studying,playlist_1
74,Female,Sad,1,Poor,7,Lo-fi,English,Studying,playlist_1
28,Female,Tired,3,Good,5,Pop,English,Studying,playlist_1
64,Female,Tired,6,Poor,9,Instrumental,Spanish,Exercise,playlist_5
72,Male,Happy,8,Fair,2,Pop,English,Exercise,playlist_1
23,Male,Tired,4,Good,3,Lo-fi,English,Exercise,playlist_5
40,Male,Tired,5,Poor,10,Classical,English,Relaxation,playlist_5
67,Female,Tired,9,Poor,5,Instrumental,Other,Sleeping,playlist_2
16,Male,Sad,6,Poor,5,Pop,English,Relaxation,playlist_2
34,Male,Happy,7,Fair,10,Classical,Other,Exercise,playlist_1
42,Prefer not to say,Tired,7,Fair,7,Pop,English,Meditation,playlist_3
61,Male,Tired,4,Poor,8,Instrumental,English,Sleeping,playlist_5
74,Female,Sad,4,Poor,8,Lo-fi,English,Studying,playlist_1
21,Other,Happy,4,Good,1,Instrumental,English,Relaxation,playlist_1
58,Female,Anxiety,5,Fair,1,Nature Sounds,English,Sleeping,playlist_3
22,Female,Sad,5,Fair,3,Pop,English,Meditation,playlist_2
61,Prefer not to say,Happy,8,Good,1,Classical,English,Sleeping,playlist_2
49,Female,Tired,9,Poor,1,Classical,English,Relaxation,playlist_5
28,Female,Happy,2,Poor,10,Instrumental,Spanish,Exercise,playlist_5
31,Male,Happy,7,Good,8,Instrumental,Spanish,Studying,playlist_1
50,Female,Happy,1,Poor,1,Instrumental,Other,Exercise,playlist_5
64,Female,Anxiety,1,Poor,9,Classical,Spanish,Exercise,playlist_5
54,Female,Happy,4,Good,2,Lo-fi,English,Relaxation,playlist_1
18,Female,Anxiety,10,Good,9,Classical,English,Exercise,playlist_3
16,Female,Tired,7,Good,7,Lo-fi,Hindi,Exercise,playlist_5
20,Female,Anxiety,2,Poor,9,Instrumental,English,Relaxation,playlist_3
68,Male,Tired,2,Good,3,Nature Sounds,English,Relaxation,playlist_5
56,Male,Tired,1,Poor,1,Classical,Spanish,Meditation,playlist_5
18,Female,Anxiety,10,Fair,1,Instrumental,English,Exercise,playlist_3
68,Male,Sad,2,Fair,10,Classical,Other,Sleeping,playlist_2
43,Male,Angry,7,Good,6,Instrumental,English,Studying,playlist_1
32,Female,Happy,9,Poor,7,Classical,English,Studying,playlist_1
40,Male,Angry,6,Poor,9,Pop,Spanish,Relaxation,playlist_4
58,Other,Happy,10,Poor,6,Classical,English,Relaxation,playlist_1
48,Male,Happy,2,Good,5,Pop,Other,Meditation,playlist_1
24,Other,Tired,10,Poor,2,Lo-fi,Other,Exercise,playlist_5
50,Female,Happy,10,Poor,2,Classical,English,Relaxation,playlist_1
28,Male,Happy,9,Poor,8,Lo-fi,English,Relaxation,playlist_1
45,Female,Anxiety,7,Fair,1,Nature Sounds,English,Studying,playlist_1
62,Female,Angry,1,Poor,8,Pop,English,Exercise,playlist_5
29,Male,Anxiety,9,Fair,10,Classical,Hindi,Meditation,playlist_3
22,Female,Happy,2,Poor,7,Lo-fi,English,Relaxation,playlist_1
28,Prefer not to say,Tired,4,Poor,7,Instrumental,English,Relaxation,playlist_5
37,Male,Anxiety,9,Poor,5,Lo-fi,English,Relaxation,playlist_3
74,Female,Anxiety,4,Fair,3,Classical,English,Studying,playlist_1
71,Male,Sad,3,Poor,7,Nature Sounds,Hindi,Relaxation,playlist_2
54,Male,Happy,1,Good,7,Pop,English,Relaxation,playlist_1
35,Male,Tired,7,Poor,7,Instrumental,English,Studying,playlist_1
30,Male,Anxiety,6,Fair,2,Lo-fi,English,Relaxation,playlist_3
59,Male,Anxiety,10,Fair,3,Classical,Hindi,Exercise,playlist_3
32,Male,Tired,4,Good,3,Classical,Hindi,Exercise,playlist_5
61,Male,Happy,6,Good,4,Pop,Spanish,Studying,playlist_1
67,Female,Sad,6,Good,9,Instrumental,English,Exercise,playlist_2
38,Female,Anxiety,4,Fair,10,Lo-fi,English,Meditation,playlist_3
40,Female,Sad,6,Poor,1,Lo-fi,Other,Relaxation,playlist_2
39,Male,Angry,10,Poor,7,Lo-fi,Other,Meditation,playlist_3
74,Other,Happy,8,Good,7,Pop,English,Exercise,playlist_1
74,Male,Angry,3,Good,4,Pop,Spanish,Studying,playlist_1
74,Male,Angry,4,Poor,1,Instrumental,Other,Studying,playlist_1
59,Female,Angry,10,Good,3,Lo-fi,English,Meditation,playlist_4
55,Female,Happy,1,Poor,5,Lo-fi,English,Exercise,playlist_5
43,Male,Happy,4,Poor,2,Instrumental,English,Relaxation,playlist_1
29,Male,Tired,10,Poor,7,Instrumental,Other,Exercise,playlist_5
59,Female,Sad,10,Poor,10,Instrumental,English,Exercise,playlist_2
15,Female,Sad,9,Fair,10,Classical,Hindi,Studying,playlist_1
39,Male,Tired,8,Poor,7,Instrumental,English,Sleeping,playlist_2
21,Other,Tired,4,Good,10,Nature Sounds,English,Relaxation,playlist_5
23,Male,Angry,7,Good,5,Pop,English,Relaxation,playlist_4
38,Female,Tired,10,Good,10,Instrumental,Other,Studying,playlist_1
15,Male,Anxiety,3,Good,6,Classical,English,Exercise,playlist_5
58,Male,Sad,9,Fair,1,Nature Sounds,English,Studying,playlist_1
22,Male,Tired,10,Poor,4,Classical,Other,Exercise,playlist_5
38,Female,Anxiety,4,Poor,4,Classical,English,Sleeping,playlist_3
25,Male,Anxiety,2,Good,8,Classical,Hindi,Sleeping,playlist_3
65,Female,Anxiety,10,Good,2,Classical,English,Meditation,playlist_3
31,Prefer not to say,Anxiety,5,Good,1,Lo-fi,English,Exercise,playlist_5
22,Female,Angry,2,Poor,7,Pop,English,Studying,playlist_1
49,Male,Anxiety,10,Fair,6,Lo-fi,Other,Studying,playlist_1
49,Male,Angry,6,Fair,5,Nature Sounds,English,Studying,playlist_1
47,Female,Angry,10,Fair,8,Lo-fi,Hindi,Meditation,playlist_3
73,Male,Anxiety,1,Fair,2,Nature Sounds,English,Relaxation,playlist_3
19,Prefer not to say,Sad,6,Good,2,Instrumental,English,Studying,playlist_1
56,Prefer not to say,Anxiety,4,Poor,9,Nature Sounds,English,Sleeping,playlist_3
53,Male,Anxiety,3,Good,1,Lo-fi,Hindi,Studying,playlist_1
72,Male,Anxiety,2,Fair,6,Lo-fi,English,Studying,playlist_1
55,Other,Sad,7,Good,3,Nature Sounds,English,Studying,playlist_1
42,Female,Happy,9,Fair,5,Lo-fi,Hindi,Relaxation,playlist_1
21,Female,Happy,3,Poor,8,Nature Sounds,English,Studying,playlist_1
23,Male,Angry,6,Fair,7,Classical,English,Relaxation,playlist_4
22,Male,Angry,9,Good,4,Pop,English,Relaxation,playlist_4
26,Other,Sad,2,Poor,8,Nature Sounds,English,Meditation,playlist_3
48,Male,Tired,7,Fair,10,Classical,English,Sleeping,playlist_2
47,Female,Happy,5,Fair,2,Classical,Hindi,Studying,playlist_1
62,Male,Angry,5,Poor,7,Classical,English,Studying,playlist_1
69,Other,Happy,7,Good,5,Classical,English,Studying,playlist_1
37,Female,Sad,9,Poor,6,Nature Sounds,Hindi,Relaxation,playlist_2
38,Male,Sad,4,Good,3,Lo-fi,English,Exercise,playlist_5
51,Male,Tired,9,Fair,10,Classical,Other,Sleeping,playlist_2
49,Female,Tired,10,Fair,7,Instrumental,English,Studying,playlist_1
58,Male,Sad,9,Poor,7,Classical,English,Exercise,playlist_2
54,Female,Angry,4,Fair,2,Lo-fi,English,Exercise,playlist_5
36,Male,Happy,3,Poor,1,Lo-fi,English,Exercise,playlist_5
41,Male,Anxiety,2,Fair,10,Pop,English,Sleeping,playlist_3
49,Female,Tired,9,Fair,2,Pop,English,Exercise,playlist_5
15,Female,Anxiety,2,Good,8,Classical,English,Studying,playlist_1
49,Female,Angry,6,Poor,10,Classical,English,Studying,playlist_1
51,Female,Tired,5,Poor,3,Pop,English,Meditation,playlist_5
61,Female,Anxiety,5,Fair,4,Classical,English,Relaxation,playlist_3
28,Female,Angry,4,Good,8,Instrumental,English,Exercise,playlist_5
17,Male,Happy,6,Good,3,Nature Sounds,English,Relaxation,playlist_1
15,Male,Angry,5,Poor,6,Pop,English,Relaxation,playlist_4
19,Male,Tired,4,Poor,2,Pop,Spanish,Relaxation,playlist_5
40,Female,Sad,9,Fair,3,Lo-fi,English,Relaxation,playlist_2
69,Female,Happy,6,Poor,1,Classical,English,Relaxation,playlist_1
28,Male,Anxiety,10,Fair,9,Pop,English,Studying,playlist_1
53,Female,Tired,10,Good,4,Pop,English,Sleeping,playlist_2
41,Male,Sad,10,Poor,6,Instrumental,Hindi,Exercise,playlist_2
23,Female,Angry,3,Good,7,Classical,English,Exercise,playlist_5
29,Male,Sad,10,Good,2,Nature Sounds,English,Studying,playlist_1
29,Female,Tired,6,Fair,8,Instrumental,English,Studying,playlist_1
40,Female,Tired,1,Good,9,Nature Sounds,Other,Relaxation,playlist_5
56,Female,Sad,5,Fair,10,Lo-fi,Spanish,Sleeping,playlist_2
74,Female,Angry,10,Fair,2,Pop,English,Exercise,playlist_4
27,Female,Sad,6,Good,5,Instrumental,English,Meditation,playlist_2
65,Female,Tired,8,Good,2,Nature Sounds,Hindi,Studying,playlist_1
46,Male,Tired,9,Fair,5,Classical,English,Meditation,playlist_5
53,Male,Anxiety,3,Fair,7,Lo-fi,English,Exercise,playlist_5
63,Other,Anxiety,2,Good,6,Lo-fi,Spanish,Studying,playlist_1
66,Other,Happy,4,Fair,4,Pop,English,Exercise,playlist_5
46,Female,Tired,8,Fair,2,Pop,English,Studying,playlist_1
18,Male,Anxiety,8,Poor,7,Nature Sounds,English,Exercise,playlist_3
44,Female,Sad,3,Poor,10,Nature Sounds,Other,Meditation,playlist_3
51,Male,Angry,4,Poor,9,Lo-fi,English,Sleeping,playlist_4
37,Male,Sad,3,Poor,1,Nature Sounds,Hindi,Studying,playlist_1
53,Female,Angry,10,Poor,3,Pop,English,Meditation,playlist_4
59,Male,Anxiety,2,Fair,7,Lo-fi,Other,Exercise,playlist_5
29,Male,Happy,4,Fair,9,Lo-fi,Other,Meditation,playlist_3
57,Female,Sad,6,Poor,5,Classical,English,Studying,playlist_1
43,Male,Sad,5,Good,7,Classical,English,Meditation,playlist_3
50,Other,Sad,3,Poor,10,Nature Sounds,English,Exercise,playlist_5
27,Prefer not to say,Angry,2,Good,7,Nature Sounds,English,Relaxation,playlist_4
46,Female,Anxiety,9,Fair,4,Pop,English,Sleeping,playlist_2
21,Prefer not to say,Sad,1,Good,5,Pop,Hindi,Sleeping,playlist_2
73,Female,Sad,9,Fair,2,Classical,English,Relaxation,playlist_2
65,Female,Happy,1,Good,8,Lo-fi,English,Studying,playlist_1
36,Female,Happy,7,Fair,1,Instrumental,English,Meditation,playlist_1
42,Female,Anxiety,6,Fair,2,Instrumental,English,Meditation,playlist_3
16,Male,Anxiety,7,Poor,3,Nature Sounds,English,Relaxation,playlist_3
56,Female,Tired,3,Fair,7,Instrumental,Other,Relaxation,playlist_5
59,Female,Happy,3,Poor,6,Instrumental,English,Exercise,playlist_5
71,Female,Tired,1,Poor,7,Classical,Other,Exercise,playlist_5
67,Female,Angry,4,Poor,5,Lo-fi,Spanish,Sleeping,playlist_4
20,Female,Tired,2,Good,4,Pop,Spanish,Studying,playlist_1
42,Female,Sad,10,Good,7,Classical,English,Studying,playlist_1
42,Female,Tired,8,Fair,3,Pop,English,Relaxation,playlist_5
58,Male,Anxiety,3,Poor,10,Classical,English,Sleeping,playlist_3
58,Female,Angry,7,Poor,7,Classical,English,Sleeping,playlist_2
34,Male,Sad,7,Fair,2,Instrumental,Other,Exercise,playlist_2
44,Prefer not to say,Tired,9,Poor,8,Pop,English,Meditation,playlist_3
25,Female,Angry,6,Fair,6,Classical,English,Studying,playlist_1
72,Female,Angry,1,Poor,3,Instrumental,English,Sleeping,playlist_4
69,Prefer not to say,Sad,8,Good,3,Nature Sounds,English,Exercise,playlist_2
42,Female,Tired,1,Fair,5,Pop,English,Exercise,playlist_5
39,Male,Angry,3,Fair,3,Classical,English,Exercise,playlist_5
53,Female,Angry,5,Good,6,Nature Sounds,Hindi,Meditation,playlist_4
47,Male,Happy,8,Fair,2,Instrumental,English,Sleeping,playlist_2
15,Male,Angry,9,Good,8,Classical,English,Relaxation,playlist_4
71,Female,Happy,7,Poor,9,Instrumental,English,Relaxation,playlist_1
41,Female,Tired,9,Good,7,Instrumental,English,Exercise,playlist_5
71,Female,Tired,3,Good,3,Instrumental,English,Exercise,playlist_5
66,Female,Tired,5,Fair,10,Pop,Other,Meditation,playlist_3
27,Male,Anxiety,10,Poor,4,Nature Sounds,English,Exercise,playlist_3
55,Female,Tired,8,Good,10,Nature Sounds,English,Sleeping,playlist_2
17,Male,Angry,1,Poor,2,Lo-fi,Other,Exercise,playlist_5
53,Male,Sad,8,Good,9,Classical,Spanish,Exercise,playlist_2
20,Female,Happy,7,Fair,5,Instrumental,English,Sleeping,playlist_2
22,Male,Anxiety,1,Good,2,Classical,English,Studying,playlist_1
41,Male,Tired,10,Good,10,Nature Sounds,Hindi,Relaxation,playlist_5
23,Male,Tired,10,Poor,6,Nature Sounds,English,Exercise,playlist_5
51,Female,Sad,6,Good,7,Instrumental,English,Sleeping,playlist_2
47,Female,Sad,1,Fair,2,Pop,English,Relaxation,playlist_2
65,Prefer not to say,Anxiety,2,Fair,1,Instrumental,English,Meditation,playlist_3
56,Female,Happy,5,Good,7,Instrumental,English,Studying,playlist_1
58,Male,Tired,2,Good,1,Lo-fi,English,Exercise,playlist_5
38,Male,Anxiety,10,Poor,3,Pop,English,Studying,playlist_1
29,Male,Angry,1,Poor,4,Classical,Hindi,Exercise,playlist_5
73,Female,Angry,6,Fair,2,Pop,English,Exercise,playlist_4
68,Female,Anxiety,8,Poor,7,Instrumental,English,Exercise,playlist_3
46,Female,Tired,8,Good,5,Instrumental,English,Studying,playlist_1
46,Male,Anxiety,8,Fair,1,Instrumental,Spanish,Meditation,playlist_3
38,Male,Tired,6,Poor,8,Instrumental,English,Sleeping,playlist_5
55,Male,Sad,3,Fair,10,Instrumental,Spanish,Sleeping,playlist_2
66,Female,Anxiety,1,Good,7,Pop,English,Meditation,playlist_3
63,Male,Tired,2,Poor,4,Instrumental,English,Meditation,playlist_5
63,Female,Anxiety,5,Good,2,Nature Sounds,Hindi,Exercise,playlist_5
72,Male,Anxiety,10,Good,7,Nature Sounds,Hindi,Exercise,playlist_3
66,Female,Tired,5,Fair,2,Lo-fi,English,Sleeping,playlist_5
26,Male,Tired,10,Fair,6,Classical,English,Exercise,playlist_5
53,Male,Happy,1,Fair,1,Nature Sounds,English,Exercise,playlist_5
16,Male,Anxiety,1,Poor,7,Lo-fi,English,Meditation,playlist_3
17,Male,Angry,9,Poor,7,Pop,English,Studying,playlist_1
63,Male,Anxiety,2,Fair,4,Classical,English,Relaxation,playlist_3
51,Female,Anxiety,7,Poor,4,Instrumental,Other,Relaxation,playlist_3
63,Male,Tired,10,Poor,10,Instrumental,Hindi,Exercise,playlist_5
70,Male,Anxiety,4,Fair,5,Pop,English,Exercise,playlist_5
31,Female,Anxiety,7,Good,2,Classical,English,Relaxation,playlist_3
73,Female,Angry,8,Poor,9,Nature Sounds,Spanish,Meditation,playlist_3
63,Male,Tired,5,Poor,10,Classical,English,Relaxation,playlist_5
16,Female,Anxiety,1,Good,4,Lo-fi,English,Relaxation,playlist_3
16,Female,Sad,4,Good,9,Pop,English,Relaxation,playlist_2
42,Male,Happy,10,Good,3,Nature Sounds,English,Exercise,playlist_1
68,Female,Angry,3,Fair,9,Classical,English,Exercise,playlist_5
37,Male,Anxiety,10,Good,1,Classical,Other,Relaxation,playlist_3
51,Male,Sad,5,Fair,7,Nature Sounds,English,Exercise,playlist_5
46,Prefer not to say,Anxiety,10,Good,4,Lo-fi,English,Relaxation,playlist_3
47,Male,Anxiety,10,Good,7,Lo-fi,English,Meditation,playlist_3
15,Male,Tired,6,Fair,10,Classical,Hindi,Exercise,playlist_5
33,Prefer not to say,Tired,2,Fair,6,Instrumental,Hindi,Studying,playlist_1
16,Female,Tired,7,Good,4,Nature Sounds,English,Exercise,playlist_5
67,Female,Sad,3,Good,4,Lo-fi,Hindi,Meditation,playlist_2
58,Female,Anxiety,1,Good,8,Lo-fi,English,Meditation,playlist_3
40,Female,Happy,10,Poor,7,Lo-fi,English,Exercise,playlist_1
46,Female,Angry,3,Good,4,Pop,English,Sleeping,playlist_4
20,Male,Tired,9,Fair,6,Instrumental,English,Relaxation,playlist_5
46,Male,Tired,10,Poor,6,Lo-fi,English,Relaxation,playlist_5
69,Male,Anxiety,6,Fair,1,Instrumental,English,Meditation,playlist_3
18,Male,Anxiety,6,Poor,2,Classical,English,Exercise,playlist_3
69,Male,Sad,4,Poor,4,Classical,English,Sleeping,playlist_2
25,Female,Sad,8,Fair,6,Pop,English,Studying,playlist_1
70,Male,Tired,5,Poor,6,Instrumental,English,Relaxation,playlist_5
73,Male,Anxiety,7,Fair,1,Nature Sounds,English,Sleeping,playlist_2
31,Female,Happy,9,Good,8,Pop,English,Relaxation,playlist_1
52,Female,Angry,5,Poor,2,Lo-fi,Hindi,Exercise,playlist_5
38,Female,Anxiety,5,Fair,5,Classical,Other,Relaxation,playlist_3
19,Female,Anxiety,4,Poor,4,Classical,English,Studying,playlist_1
66,Prefer not to say,Sad,6,Fair,5,Nature Sounds,English,Exercise,playlist_2
48,Female,Angry,2,Good,5,Pop,English,Meditation,playlist_4
20,Female,Tired,3,Good,10,Instrumental,Other,Sleeping,playlist_5
36,Female,Anxiety,1,Poor,8,Classical,English,Relaxation,playlist_3
25,Female,Tired,2,Poor,10,Lo-fi,Hindi,Exercise,playlist_5
62,Female,Anxiety,2,Fair,7,Nature Sounds,English,Exercise,playlist_5
30,Female,Tired,8,Fair,9,Nature Sounds,Other,Relaxation,playlist_5
47,Male,Angry,8,Poor,1,Nature Sounds,English,Meditation,playlist_4
23,Female,Sad,2,Fair,6,Lo-fi,Other,Relaxation,playlist_2
74,Female,Angry,6,Fair,6,Nature Sounds,English,Meditation,playlist_4
73,Female,Happy,5,Fair,2,Instrumental,Other,Relaxation,playlist_1
20,Male,Sad,3,Poor,8,Instrumental,English,Exercise,playlist_5
30,Male,Angry,5,Good,6,Pop,English,Studying,playlist_1
43,Male,Happy,5,Good,10,Pop,Hindi,Studying,playlist_1
17,Female,Anxiety,5,Fair,9,Instrumental,Spanish,Exercise,playlist_5
34,Female,Anxiety,3,Poor,10,Lo-fi,English,Studying,playlist_1
74,Male,Tired,3,Fair,5,Pop,English,Meditation,playlist_5
73,Female,Sad,4,Good,7,Nature Sounds,Spanish,Exercise,playlist_5
50,Male,Anxiety,7,Fair,6,Instrumental,Other,Meditation,playlist_3
33,Male,Sad,2,Good,5,Classical,English,Exercise,playlist_5
40,Female,Anxiety,10,Poor,6,Lo-fi,English,Meditation,playlist_3
17,Female,Tired,4,Fair,4,Lo-fi,Hindi,Meditation,playlist_5
33,Female,Angry,4,Poor,3,Instrumental,English,Studying,playlist_1
34,Male,Tired,1,Fair,1,Classical,Hindi,Exercise,playlist_5
46,Female,Happy,10,Fair,1,Lo-fi,Hindi,Relaxation,playlist_1
21,Female,Anxiety,8,Fair,6,Pop,Spanish,Studying,playlist_1
66,Male,Happy,1,Fair,9,Classical,Spanish,Meditation,playlist_3
55,Prefer not to say,Happy,8,Fair,8,Nature Sounds,Other,Meditation,playlist_3
47,Female,Sad,7,Poor,2,Pop,Hindi,Relaxation,playlist_2
54,Male,Anxiety,9,Poor,9,Classical,Hindi,Relaxation,playlist_3
53,Female,Happy,8,Good,8,Instrumental,English,Meditation,playlist_3
32,Male,Angry,5,Fair,9,Lo-fi,English,Relaxation,playlist_4
54,Female,Happy,8,Good,4,Pop,English,Sleeping,playlist_2
15,Female,Angry,10,Poor,9,Instrumental,Spanish,Studying,playlist_1
25,Male,Sad,3,Good,2,Classical,English,Exercise,playlist_5
42,Female,Happy,10,Poor,1,Nature Sounds,English,Relaxation,playlist_1
71,Female,Tired,7,Fair,9,Lo-fi,English,Relaxation,playlist_5
39,Prefer not to say,Sad,4,Good,10,Lo-fi,Spanish,Sleeping,playlist_2
64,Male,Angry,5,Good,8,Pop,Hindi,Exercise,playlist_5
37,Female,Sad,9,Good,7,Instrumental,Other,Sleeping,playlist_2
45,Female,Happy,7,Good,8,Classical,English,Exercise,playlist_1
44,Male,Anxiety,4,Fair,1,Classical,English,Studying,playlist_1
56,Male,Anxiety,6,Poor,9,Instrumental,English,Relaxation,playlist_3
49,Female,Angry,10,Poor,10,Lo-fi,English,Studying,playlist_1
21,Female,Angry,7,Fair,9,Instrumental,English,Exercise,playlist_4
74,Male,Anxiety,10,Poor,9,Classical,English,Relaxation,playlist_3
30,Other,Angry,9,Good,6,Instrumental,English,Sleeping,playlist_2
40,Male,Sad,4,Fair,4,Lo-fi,English,Meditation,playlist_2
62,Female,Tired,10,Poor,2,Pop,English,Sleeping,playlist_2
71,Female,Tired,3,Fair,4,Lo-fi,English,Meditation,playlist_5
66,Female,Sad,8,Fair,7,Nature Sounds,English,Sleeping,playlist_2
74,Male,Tired,1,Poor,1,Nature Sounds,English,Exercise,playlist_5
63,Female,Happy,9,Poor,9,Instrumental,English,Studying,playlist_1
16,Female,Sad,1,Fair,3,Lo-fi,English,Meditation,playlist_2
15,Female,Angry,2,Fair,4,Lo-fi,English,Exercise,playlist_5
62,Female,Sad,8,Poor,5,Classical,Other,Studying,playlist_1
26,Male,Anxiety,9,Fair,3,Pop,English,Studying,playlist_1
19,Female,Angry,7,Poor,4,Lo-fi,English,Relaxation,playlist_4
51,Male,Anxiety,3,Fair,5,Instrumental,Other,Relaxation,playlist_3
46,Prefer not to say,Angry,7,Fair,1,Classical,English,Relaxation,playlist_4
73,Male,Tired,6,Fair,9,Classical,English,Meditation,playlist_3
69,Male,Sad,2,Poor,10,Instrumental,English,Meditation,playlist_3
23,Male,Happy,3,Good,10,Instrumental,English,Studying,playlist_1
55,Female,Angry,10,Poor,4,Lo-fi,English,Meditation,playlist_4
49,Male,Angry,10,Fair,9,Lo-fi,English,Studying,playlist_1
33,Female,Anxiety,5,Good,4,Classical,Hindi,Exercise,playlist_5
62,Female,Tired,10,Good,1,Classical,English,Sleeping,playlist_2
30,Male,Anxiety,4,Fair,5,Pop,Other,Studying,playlist_1
17,Male,Anxiety,2,Poor,9,Classical,Other,Studying,playlist_1
34,Female,Tired,4,Good,3,Instrumental,Other,Exercise,playlist_5
38,Male,Happy,8,Good,5,Instrumental,Hindi,Relaxation,playlist_1
68,Male,Anxiety,5,Poor,3,Pop,English,Relaxation,playlist_3
70,Male,Anxiety,5,Poor,3,Nature Sounds,Spanish,Relaxation,playlist_3
47,Male,Angry,10,Good,1,Nature Sounds,English,Studying,playlist_1
38,Male,Tired,3,Poor,2,Instrumental,Hindi,Studying,playlist_1
66,Female,Sad,8,Good,2,Nature Sounds,English,Meditation,playlist_2
25,Female,Happy,6,Fair,9,Nature Sounds,English,Meditation,playlist_3
63,Female,Happy,2,Poor,7,Pop,Other,Sleeping,playlist_1
22,Male,Tired,2,Good,8,Classical,English,Sleeping,playlist_5
50,Female,Angry,9,Poor,2,Classical,English,Meditation,playlist_4
52,Male,Angry,7,Poor,9,Nature Sounds,English,Studying,playlist_1
54,Other,Tired,10,Good,3,Lo-fi,Spanish,Exercise,playlist_5
